id,skos:notation,skos:prefLabel,nypl:locationType,nypl:actualLocation,dcterms:isPartOf,nypl:owner
maii3,maii3,SASB - Periodicals and Microforms Rm 100,Research,Schwarzman Building - Periodicals and Microforms Reference Desk Rm 100,ma,1000
maln,maln,SASB - Noma Scholar Room,Research,SASB - Noma Scholar Room,ma,1000
mag,mag,SASB - Milstein Division Rm 121,Research,Schwarzman Building - Milstein Division Rm 121,ma,1105
magg1,magg1,SASB - Milstein Division Reference Rm 121,Research,Schwarzman Building - Milstein Division Reference Rm 121,ma,1105
magh1,magh1,SASB - Milstein Division Microforms Rm 119,Research,Schwarzman Building - Milstein Division Microforms Rm 119,ma,1105
magg2,magg2,SASB - Milstein Division - Mezzanine,Research,Schwarzman Building - Milstein Division - Mezzanine,ma,1105
magg3,magg3,SASB - Milstein Division - Desk Rm 121,Research,Schwarzman Building - Milstein Division - Desk Rm 121,ma,1105
mapp1,mapp1,SASB - Map Division Reference - Rm 117,Research,Schwarzman Building - Map Division Reference - Rm 117,ma,1106
map,map,SASB - Map Division - Rm 117,Research,Schwarzman Building - Map Division - Rm 117,ma,1106
mapp2,mapp2,SASB - Map Division - Rm 117,Research,Schwarzman Building - Map Division - Rm 117,ma,1106
mapp3,mapp3,SASB - Map Division - Desk - Rm 117,Research,Schwarzman Building - Map Division - Desk - Rm 117,ma,1106
mao,mao,SASB - Manuscripts & Archives Rm 328,Research,Schwarzman Building - Manuscripts & Archives Rm 328,ma,1107
mao82,mao82,SASB - Manuscripts & Archives Rm 328,Research,Schwarzman Building - Manuscripts & Archives Rm 328,ma,1107
maor2,maor2,SASB - Manuscripts & Archives Rm 328,Research,Schwarzman Building - Manuscripts & Archives Rm 328,ma,1107
mall1,mall1,SASB - General Research - Room 315,Research,Schwarzman Building - Main Reading Room 315 - Reference,ma,1101
malm2,malm2,SASB - General Research - Room 315,Research,Schwarzman Building - Main Reading Room 315 - Mezzanine,ma,1101
malv2,malv2,SASB - General Research - Public Catalog Room 315,Research,Schwarzman Building - Public Catalog Room 315,ma,1101
maf,maf,SASB - Dorot Jewish Division Rm 111,Research,Schwarzman Building - Dorot Jewish Division Rm 111,ma,1103
maf88,maf88,SASB - Dorot Jewish Division Rm 111,Research,Schwarzman Building - Dorot Jewish Division Rm 111,ma,1103
maff1,maff1,SASB - Dorot Jewish Division Reference Rm 111,Research,Schwarzman Building - Dorot Jewish Division Reference Rm 111,ma,1103
maff3,maff3,SASB - Dorot Jewish Division - Desk Rm 111,Research,Schwarzman Building - Dorot Jewish Division - Desk Rm 111,ma,1103
maa,maa,SASB - DO NOT USE,Research,SASB - DO NOT USE,ma,1000
maa0f,maa0f,SASB - DO NOT USE,Research,SASB - DO NOT USE,ma,1000
maa0n,maa0n,SASB - DO NOT USE,Research,SASB - DO NOT USE,ma,1000
maa0v,maa0v,SASB - DO NOT USE,Research,SASB - DO NOT USE,ma,1000
may,may,SASB - DO NOT USE,Research,SASB - DO NOT USE,ma,1000
mak,mak,SASB - Dewitt Wallace Room 108,Research,Schwarzman Building - Dewitt Wallace Room 108,ma,1000
makk3,makk3,SASB - Dewitt Wallace Reference Desk Rm 108,Research,Schwarzman Building - Dewitt Wallace Reference Desk Rm 108,ma,1000
malc,malc,SASB - Cullman Center,Research,SASB - Cullman Center,ma,1127
maj,maj,SASB - Children's Center Rm 84,Research,Schwarzman Building - Children's Center Rm 84,ma,1126
mae,mae,SASB - Berg Collection Rm 320,Research,Schwarzman Building - Berg Collection Rm 320,ma,1104
mae82,mae82,SASB - Berg Collection Rm 320,Research,Schwarzman Building - Berg Collection Rm 320,ma,1104
maee2,maee2,SASB - Berg Collection Rm 320,Research,Schwarzman Building - Berg Collection Rm 320,ma,1104
mabb1,mabb1,SASB - Art Reference Rm 300,Research,Schwarzman Building - Art Reference Rm 300,ma,1130
mab,mab,SASB - Art & Architecture Rm 300,Research,Schwarzman Building - Art & Architecture Rm 300,ma,1110
mabb2,mabb2,SASB - Art & Architecture Rm 300,Research,Schwarzman Building - Art & Architecture Rm 300,ma,1110
mabm2,mabm2,SASB - Art & Architecture Rm 300,Research,Schwarzman Building - Art & Architecture Rm 300,ma,1110
mabb3,mabb3,SASB - Art - Desk Rm 300,Research,Schwarzman Building - Art - Desk Rm 300,ma,1110
mac,mac,SASB - Arents Collection Rm 328,Research,Schwarzman Building - Arents Collection Rm 328,ma,1109
mac82,mac82,SASB - Arents Collection Rm 328,Research,Schwarzman Building - Arents Collection Rm 328,ma,1109
macc2,macc2,SASB - Arents Collection Rm 328,Research,Schwarzman Building - Arents Collection Rm 328,ma,1109
mala,mala,SASB - Allen Scholar Room,Research,SASB - Allen Scholar Room,ma,1000
mala1,mala1,SASB - Allen Room - Reference,Research,,ma,1000
