constant, value
OVERDRIVE_ID, "Overdrive ID"
BIBLIOTHECA_ID, "Bibliotheca ID"
GUTENBERG_ID, "Gutenberg ID"
AXIS_360_ID, "Axis 360 ID"
ELIB_ID, "eLiburutegia ID"
ASIN, "ASIN"
ISBN, "ISBN"
NOVELIST_ID, "NoveList ID"
OCLC_WORK, "OCLC Work ID"
OCLC_NUMBER, "OCLC Number"
ONECLICK_ID, "OneClick ID"
OPEN_LIBRARY_ID, "OLID"
BIBLIOCOMMONS_ID, "Bibliocommons ID"
URI, "URI"
DOI, "DOI"
UPC, "UPC"
